SIRUTA,uat_name,county_code,county_name,PERC_PSD,TOATE,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,ALIANȚA PENTRU UNIREA ROMÂNILOR,UNIUNEA SALVAȚI ROMÂNIA,PARTIDUL NAȚIONAL LIBERAL,PARTIDUL SOCIAL DEMOCRAT,PARTIDUL OAMENILOR TINERI,PARTIDUL NOUA ROMÂNIE,PARTIDUL S.O.S. ROMÂNIA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,PARTIDUL ECOLOGIST ROMÂN,PARTIDUL ROMÂNIA ÎN ACȚIUNE,PARTIDUL SOCIAL DEMOCRAT UNIT,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,Populatie_2023,Populatie_2007,NOTA FINALA MATEMATICA,MEDIA,MEDIA V-VIII,T,M,F,Y_LT15,Y_1564,Y_GE65,EMP,NAT,EU_OTH,OTH,SAME,CHG_IN,CHG_OUT
54975,MUNICIPIUL CLUJ-NAPOCA,CJ,CLUJ,0.14806809,129535,19356,15264,29892,32663,19180,6010,105,4484,1484,420,272,246,159,327212,315743,7.59246784,7.864264407,9.267830599,291982,137404,154578,42522,195719,53741,152740,285731,2714,3537,282235,7852,1895
55008,MUNICIPIUL DEJ,CJ,CLUJ,0.22830692,12746,1246,2915,1424,2170,2910,981,19,797,117,63,31,52,21,36714,41226,6.754166667,7.11045977,9.065426136,31843,15252,16591,4555,20563,6725,14374,31311,374,158,31173,500,170
55062,CUZDRIOARA,CJ,CLUJ,0.22166998,1006,35,296,104,167,223,96,0,69,8,3,1,4,0,2979,3012,5.275,5.379,8.211,2580,1237,1343,414,1619,547,951,2502,57,21,2538,24,18
55106,JICHIŞU DE JOS,CJ,CLUJ,0.169102296,479,8,119,43,130,81,52,0,34,3,2,3,3,1,1067,1232,,,,975,488,487,109,562,304,365,963,4,8,963,11,1
55160,MICA,CJ,CLUJ,0.143923965,1473,211,281,101,454,212,101,0,102,4,2,2,3,0,3584,3640,5.354166667,5.33,8.466153846,3126,1563,1563,490,1973,663,1226,3105,18,3,3086,35,5
55259,MUNICIPIUL TURDA,CJ,CLUJ,0.172478275,18182,1417,4392,3669,2512,3136,1416,23,1301,127,67,43,50,29,52901,60299,6.590107914,7.066546763,9.097839721,43615,20791,22824,6290,27399,9926,18180,42550,864,201,42612,660,343
55277,MIHAI VITEAZU,CJ,CLUJ,0.112724167,2342,494,458,241,476,264,225,8,145,11,8,5,3,4,5840,6003,6.0625,6.7955,9.18175,5787,2839,2948,767,3777,1243,2421,5665,80,42,5540,139,108
55311,SĂNDULEŞTI,CJ,CLUJ,0.079558011,905,16,211,124,298,72,102,3,65,10,0,0,4,0,2176,1928,6.23125,6.82,8.955,1524,761,763,264,938,322,583,1470,40,14,1414,81,29
55357,MUNICIPIUL CÂMPIA TURZII,CJ,CLUJ,0.195767196,8505,530,2152,1059,1733,1665,691,9,514,56,32,20,27,17,26139,29645,6.403424658,6.963424658,9.088300654,20148,9652,10496,3038,12612,4498,8311,19532,546,70,19637,338,173
55384,MUNICIPIUL GHERLA,CJ,CLUJ,0.204751408,8166,1336,1579,850,1772,1672,455,10,369,46,15,5,43,14,22094,23539,6.324876847,6.904482759,9.136619048,19970,9886,10084,2960,12857,4153,8711,19617,203,150,19209,569,192
55446,ORAŞ HUEDIN,CJ,CLUJ,0.1303125,3200,1052,491,221,666,417,147,1,171,17,6,3,3,5,9207,9776,6.397297297,6.801351351,9.222933333,8257,3996,4261,1412,5425,1420,3190,8122,87,48,8143,79,35
55473,AGHIREŞU,CJ,CLUJ,0.110629067,2305,1010,366,118,281,255,105,4,139,5,8,6,6,2,6355,7229,4.146,4.47,8.398,5691,2851,2840,814,3588,1289,2383,5632,45,14,5600,75,16
55598,AITON,CJ,CLUJ,0.093275488,461,91,93,58,118,43,26,0,25,3,0,1,2,1,985,1228,,,,1208,596,612,149,670,389,469,1177,10,21,1099,103,6
55623,ALUNIŞ,CJ,CLUJ,0.147699758,413,5,140,12,110,61,29,0,40,4,3,1,8,0,1058,1397,6.12,6.146,8.515,998,516,482,117,564,317,352,972,7,19,984,14,0
55687,APAHIDA,CJ,CLUJ,0.115492958,7100,334,1449,1365,1712,820,723,12,478,110,38,12,34,13,16731,8922,5.786507937,6.182539683,8.73140625,17401,8619,8782,3618,11684,2099,9178,17106,156,139,16070,1212,119
55776,AŞCHILEU,CJ,CLUJ,0.161949686,636,45,129,27,247,103,31,4,37,1,5,0,7,0,1412,1767,3.692857143,4.228571429,8.061,1431,722,709,207,838,386,472,1355,13,63,1415,11,5
55838,BACIU,CJ,CLUJ,0.099036918,6230,1854,830,1104,1108,617,341,5,273,65,13,5,9,6,13861,8150,5.6875,6.15875,8.718125,10973,5354,5619,2039,7264,1670,5502,10814,89,70,10428,477,68
55918,BĂIŞOARA,CJ,CLUJ,0.250652742,766,12,258,55,115,192,68,0,55,3,1,1,5,1,1933,2269,6.108333333,6.043333333,8.801666667,1748,883,865,203,1107,438,626,1713,12,23,1707,24,17
56014,BELIŞ,CJ,CLUJ,0.363636364,616,17,134,51,108,224,35,1,36,2,3,0,4,1,1225,1452,6,6.482857143,9.411428571,728,359,369,77,428,223,212,718,2,8,716,12,0
56096,BOBÂLNA,CJ,CLUJ,0.231418919,592,17,124,31,194,137,34,1,50,1,0,0,1,2,1292,1690,5.325,5.34,8.055454545,1382,694,688,212,723,447,372,1372,6,4,1347,31,4
56210,BONŢIDA,CJ,CLUJ,0.112251056,1657,294,451,147,297,186,127,1,132,7,7,0,5,3,4739,4766,4.253448276,4.686206897,8.795625,5004,2522,2482,786,3318,900,2202,4872,21,111,4815,74,115
56265,BORŞA,CJ,CLUJ,0.116176471,680,21,139,33,312,79,56,0,32,6,1,0,0,1,1281,1624,6.705555556,7.414444444,8.653076923,1511,785,726,151,877,483,526,1484,14,13,1461,49,1
56327,BUZA,CJ,CLUJ,0.176190476,420,209,46,12,42,74,18,0,13,2,1,0,3,0,1129,1426,3.954545455,5.004545455,8.510833333,1154,583,571,148,684,322,400,1145,6,3,1137,14,3
56354,CĂIANU,CJ,CLUJ,0.111932418,947,278,134,38,266,106,42,3,48,24,0,0,5,3,2297,2529,5.425,6.285,9.106,2034,1042,992,271,1214,549,755,2004,10,20,1997,27,10
56425,CĂLĂRAŞI,CJ,CLUJ,0.090452261,796,209,200,55,129,72,72,1,48,2,2,2,3,1,2287,2532,4.838888889,5.157777778,8.358888889,1363,677,686,185,840,338,500,1308,51,4,1317,30,16
56461,CĂLĂŢELE,CJ,CLUJ,0.287844037,872,140,208,51,107,251,55,0,49,1,0,2,7,1,2414,2704,5.85,6.346923077,8.681428571,2259,1100,1159,382,1411,466,635,2209,41,9,2212,32,15
56522,CĂMĂRAŞU,CJ,CLUJ,0.215363512,729,21,136,46,224,157,56,1,72,8,1,1,4,2,2603,2970,5.49375,5.91,8.502,2392,1213,1179,435,1447,510,796,2378,11,3,2375,14,3
56568,CĂPUŞU MARE,CJ,CLUJ,0.136492221,1414,554,213,76,266,193,46,2,47,5,3,3,6,0,2926,3462,5.24375,5.480416667,8.474583333,3571,1763,1808,438,2228,905,1486,3544,15,12,3496,61,14
56666,CĂŞEIU,CJ,CLUJ,0.177459527,1606,14,561,118,362,285,114,0,113,12,8,2,16,1,4683,4813,4.775,5.321363636,8.4384,4522,2228,2294,810,2886,826,1782,4463,52,7,4455,57,10
56773,CĂTINA,CJ,CLUJ,0.194980695,518,84,108,20,140,101,23,2,27,10,1,0,0,2,1573,2156,4.186363636,4.710909091,7.896153846,1567,818,749,201,932,434,558,1540,7,20,1543,18,6
56844,CEANU MARE,CJ,CLUJ,0.306636156,1311,30,453,99,112,402,87,1,101,10,2,1,10,3,3578,4314,4.95,5.563,8.887,3414,1729,1685,414,2079,921,1125,3279,69,66,3392,12,10
56988,CHINTENI,CJ,CLUJ,0.191038897,2031,271,342,329,404,388,152,2,116,18,3,2,2,2,4063,2719,5.06,5.349333333,8.985,4285,2140,2145,858,2707,720,1985,4206,48,31,3981,261,43
57083,CHIUIEŞTI,CJ,CLUJ,0.166037736,1060,6,269,46,454,176,50,2,38,9,3,1,6,0,2274,2745,5.058823529,6.046470588,8.901666667,1993,962,1031,287,1271,435,718,1943,31,19,1952,15,26
57163,CIUCEA,CJ,CLUJ,0.172413793,783,19,163,37,376,135,33,1,17,0,0,1,1,0,1444,1758,6.885714286,6.765714286,9.1425,1250,621,629,141,791,318,417,1228,6,16,1224,26,0
57225,CIURILA,CJ,CLUJ,0.171276596,940,25,199,150,269,161,54,2,54,17,3,1,4,1,1735,1352,6.21,6.768,8.826,1882,912,970,376,1047,459,665,1838,13,31,1817,61,4
57314,CÂŢCĂU,CJ,CLUJ,0.096561814,1367,10,273,67,736,132,72,2,58,6,2,0,6,3,2190,2358,7.44375,6.98,8.588461538,2376,1210,1166,361,1510,505,1069,2325,41,10,2252,89,35
57350,COJOCNA,CJ,CLUJ,0.148864592,1189,283,315,123,92,177,65,1,115,4,5,3,5,1,4136,4276,3.661363636,3.696666667,7.552222222,4328,2145,2183,764,2708,856,1797,4195,43,90,4281,39,8
57449,CORNEŞTI,CJ,CLUJ,0.191522763,637,47,131,43,198,122,46,3,40,3,0,0,4,0,1291,1679,4.383333333,4.866666667,8.686666667,1381,710,671,162,703,516,427,1372,3,6,1349,29,3
57546,DĂBÂCA,CJ,CLUJ,0.180933852,514,26,112,32,114,93,53,1,63,8,3,1,7,1,1332,1553,4.8,5.524285714,9.16,1580,788,792,199,877,504,579,1548,13,19,1549,22,9
57582,FELEACU,CJ,CLUJ,0.094768439,2332,610,259,439,565,221,100,3,104,23,4,0,4,0,4666,3559,6.85,7.37,9.79,5227,2533,2694,977,3291,959,2413,5135,57,35,4975,209,43
57644,FIZEŞU GHERLII,CJ,CLUJ,0.129032258,837,208,226,51,108,108,47,0,75,5,3,1,3,2,2579,2764,,,,2191,1091,1100,357,1345,489,775,2139,22,30,2168,20,3
57706,FLOREŞTI,CJ,CLUJ,0.091437447,19959,2419,3225,4750,4855,1825,1423,11,1106,210,55,47,19,14,51495,7604,5.405729167,5.730729167,8.6892,50852,24495,26357,11088,35791,3973,28701,49479,542,831,46258,4160,434
57742,FRATA,CJ,CLUJ,0.428079242,1161,27,287,41,131,497,74,2,81,4,1,2,10,4,3789,4479,4.129166667,4.67125,8.447586207,3803,1916,1887,571,2271,961,1306,3736,64,3,3744,38,21
57831,GEACA,CJ,CLUJ,0.258979206,529,91,98,41,104,137,21,0,21,7,5,0,2,2,1381,1717,4.6625,5.07875,7.824285714,1423,715,708,178,847,398,555,1396,10,17,1403,15,5
57902,GILĂU,CJ,CLUJ,0.142707789,3826,373,893,320,1012,546,318,9,299,30,8,2,14,2,9186,7921,5.95890411,6.192876712,9.064657534,8789,4317,4472,1512,5712,1565,3771,8704,57,28,8575,170,44
57948,GÂRBĂU,CJ,CLUJ,0.099150142,1059,485,135,68,170,105,31,0,53,7,0,4,1,0,2153,2449,6.245,6.434,9.197,2133,1081,1052,291,1330,512,940,2067,13,53,2089,32,12
58008,IARA,CJ,CLUJ,0.180685358,1284,31,379,97,296,232,130,2,107,2,2,0,6,0,3595,4475,6.086666667,6.599333333,9.009333333,3543,1805,1738,422,2210,911,1199,3488,30,25,3497,24,22
58142,ICLOD,CJ,CLUJ,0.156918688,1402,27,354,120,390,220,153,3,99,14,5,3,11,3,4147,4547,5.41875,5.35625,8.2092,3869,1932,1937,548,2477,844,1720,3800,39,30,3800,36,33
58204,IZVORU CRIŞULUI,CJ,CLUJ,0.037484885,827,682,52,11,33,31,8,0,8,0,0,0,2,0,1418,1612,7.3875,7.5,9.49125,1357,659,698,155,859,343,507,1342,10,5,1340,15,2
58259,JUCU,CJ,CLUJ,0.243177189,2455,225,487,378,354,597,180,5,154,26,16,7,21,5,5193,3956,4.725,5.452,8.6344,5368,2711,2657,880,3385,1103,2398,5310,36,22,5076,269,23
58311,LUNA,CJ,CLUJ,0.135873472,1391,96,386,160,244,189,122,0,167,10,5,1,7,4,4562,4684,4.281578947,4.99,8.5425,4893,2419,2474,690,3254,949,2004,4779,97,17,4831,49,13
58357,MĂGURI-RĂCĂTĂU,CJ,CLUJ,0.360153257,783,6,261,25,75,282,66,0,54,11,1,0,2,0,2245,2485,5.475,5.713,9.1115,2073,1092,981,307,1411,355,743,2036,7,30,2052,15,6
58393,MĂNĂSTIRENI,CJ,CLUJ,0.298059965,567,98,118,27,67,169,36,0,35,3,4,2,6,2,1294,1703,6.49,6.322,9.276,1199,581,618,120,685,394,384,1175,7,17,1166,25,8
58464,MĂRGĂU,CJ,CLUJ,0.230650155,646,4,115,36,252,149,45,2,36,4,0,0,1,2,1495,1759,5.65,5.98,8.834375,1364,691,673,195,821,348,408,1353,3,8,1335,25,4
58534,MĂRIŞEL,CJ,CLUJ,0.145985401,822,5,147,24,436,120,50,3,29,5,1,0,1,1,1441,1645,5.679166667,5.845,8.808333333,1488,790,698,213,970,305,553,1469,4,15,1470,13,5
58552,MINTIU GHERLII,CJ,CLUJ,0.274573517,1231,18,363,80,194,338,98,2,114,6,6,5,6,1,3800,3859,5.05,5.565,8.58,3501,1784,1717,545,2147,809,1382,3466,22,13,3414,50,37
58623,MOCIU,CJ,CLUJ,0.150865622,1213,144,252,61,362,183,66,0,61,64,6,2,9,3,3152,3569,5.886363636,6.501818182,8.940909091,3302,1649,1653,483,2028,791,1271,3273,26,3,3257,38,7
58721,MOLDOVENEŞTI,CJ,CLUJ,0.067064083,1342,726,218,71,62,90,79,3,83,4,2,0,3,1,3198,3482,4.872222222,5.978888889,8.358181818,3303,1612,1691,478,2025,800,1231,3258,35,10,3180,94,29
58794,PĂLATCA,CJ,CLUJ,0.130044843,446,74,79,7,182,58,18,1,19,3,1,2,2,0,1000,1325,4.404166667,4.989166667,9.078333333,1125,568,557,163,583,379,365,1093,16,16,1100,17,8
58856,PANTICEU,CJ,CLUJ,0.099611902,773,14,109,43,450,77,22,3,47,1,0,2,5,0,1681,1842,5.171428571,5.621428571,9.262857143,1668,848,820,358,918,392,438,1617,23,28,1629,30,9
58918,PETREŞTII DE JOS,CJ,CLUJ,0.180869565,575,20,212,72,87,104,31,0,43,0,0,0,5,1,1436,1792,4.71875,5.1825,8.68625,1416,702,714,174,809,433,428,1381,9,26,1399,14,3
58990,PLOSCOŞ,CJ,CLUJ,0.420289855,276,2,69,10,39,116,22,0,13,2,0,0,3,0,610,752,4.8,5.72,8.11,536,281,255,47,318,171,170,520,4,12,530,5,1
59041,POIENI,CJ,CLUJ,0.263365222,1777,7,442,129,430,468,138,5,123,11,2,4,13,5,4537,5655,5.611111111,5.656296296,8.569259259,4365,2160,2205,521,2693,1151,1603,4297,21,47,4292,53,20
59130,RECEA-CRISTUR,CJ,CLUJ,0.103448276,841,7,87,27,562,87,37,0,26,6,1,0,1,0,1330,1531,,,,1453,724,729,315,734,404,362,1432,14,7,1412,28,13
59238,RIŞCA,CJ,CLUJ,0.457627119,531,5,102,30,68,243,44,0,27,2,0,3,4,3,1288,1775,6.2,7.36,9.68,1451,705,746,129,806,516,470,1431,7,13,1434,13,4
59283,SĂCUIEU,CJ,CLUJ,0.136659436,461,3,138,17,169,63,43,1,22,2,1,0,2,0,1374,1645,5.17,5.734,7.239166667,1369,671,698,221,816,332,321,1350,10,9,1290,29,50
59327,SĂVĂDISLA,CJ,CLUJ,0.079693832,2221,1235,289,103,219,177,95,0,86,9,1,3,3,1,4105,4184,6.358333333,7.055,9.174166667,4042,1959,2083,547,2563,932,1663,4002,27,13,3915,100,27
59416,SIC,CJ,CLUJ,0.009466437,1162,1098,11,14,10,11,3,2,2,5,2,3,1,0,2200,2632,6.163636364,6.929090909,8.863333333,2235,1084,1151,263,1357,615,800,2223,9,3,2206,25,4
59434,SÂNCRAIU,CJ,CLUJ,0.05465587,988,801,47,22,40,54,8,0,14,2,0,0,0,0,1496,1673,6.46875,7.044375,9.189375,1622,760,862,208,964,450,598,1596,16,10,1585,25,12
59498,SÂNMĂRTIN,CJ,CLUJ,0.139622642,795,51,154,19,421,111,11,1,14,2,1,2,6,2,1232,1661,4.55,4.16,7.883333333,1125,538,587,102,546,477,282,1096,2,27,1117,7,1
59586,SÂNPAUL,CJ,CLUJ,0.212765957,940,25,224,97,256,200,55,0,50,18,4,1,8,2,2227,2385,3.7,3.81,7.662142857,2280,1194,1086,385,1378,517,819,2264,6,10,2238,23,19
59657,SUATU,CJ,CLUJ,0.071312804,617,377,103,16,23,44,16,1,29,1,1,0,6,0,1450,1888,3.971428571,4.258571429,7.571428571,1588,785,803,192,870,526,580,1570,9,9,1552,30,6
59693,TRITENII DE JOS,CJ,CLUJ,0.133995037,1209,102,398,109,144,162,154,9,103,10,1,3,11,3,4414,5002,5.373076923,6.213846154,9.057333333,3927,2016,1911,565,2523,839,1338,3825,91,11,3817,53,57
59764,TURENI,CJ,CLUJ,0.119858989,851,183,173,72,193,102,57,3,53,4,3,2,5,1,2183,2431,5.695,5.52,8.369,2578,1298,1280,383,1521,674,942,2535,25,18,2447,102,29
59826,ŢAGA,CJ,CLUJ,0.193181818,704,25,160,48,226,136,37,1,43,9,5,2,8,4,1622,2096,7.60625,7.46,8.52,1633,822,811,148,931,554,584,1615,13,5,1587,38,8
59880,UNGURAŞ,CJ,CLUJ,0.133531157,1011,641,62,27,67,135,29,1,25,4,7,2,8,3,2482,3017,6.584615385,6.636153846,8.664285714,2447,1227,1220,278,1545,624,946,2397,42,8,2387,22,38
59942,VAD,CJ,CLUJ,0.169273229,1087,22,210,53,437,184,71,6,73,16,2,2,8,3,1945,2097,5.52,5.689333333,8.169411765,2334,1151,1183,353,1371,610,747,2303,24,7,2304,15,15
60026,VALEA IERII,CJ,CLUJ,0.34180791,354,3,122,17,35,121,35,1,15,3,0,0,2,0,877,1059,3.45,4.8025,8.8325,990,535,455,111,659,220,369,976,2,12,974,10,6
60062,VIIŞOARA,CJ,CLUJ,0.160945414,1777,459,395,101,217,286,155,2,147,4,2,3,5,1,5939,6106,6.045,6.557666667,9.023666667,6053,3013,3040,1044,3838,1171,2238,5879,164,10,5752,91,210
60099,VULTURENI,CJ,CLUJ,0.550639135,1017,96,98,52,107,560,43,0,46,5,3,0,6,1,1457,1450,4.844444444,5.033333333,8.202727273,1546,773,773,268,899,379,550,1524,12,10,1463,69,14
60169,NEGRENI,CJ,CLUJ,0.170915958,1059,14,260,54,335,181,127,1,61,19,2,1,3,1,2176,2599,4.959090909,5.485454545,8.981818182,2139,1059,1080,225,1410,504,777,2111,19,9,2108,27,4
